Scuola,Meccanografico,Indirizzo,Città,Prov,Regione,Paese,Full Address,Longitudine,Latitudine,Nomerete,SitoScuola,Dominio
"Istituto Comprensivo ""C. Govoni""",FEIC81100X,"via Fortezza, 20",Ferrara,(FE),Emilia Romagna,Italia,"via Fortezza, 20 Ferrara (FE) Emilia Romagna Italia ",44.8383641,11.6070974,,https://icgovoniferrara.edu.it/,https://fe-icgovoni.medialibrary.it
"Istituto Comprensivo ""Teodoro Bonati""",FEIC802005,"via Gardenghi Monsignor Ulisse, 5",Bondeno,(FE),Emilia Romagna,Italia,"via Gardenghi Monsignor Ulisse, 5 Bondeno (FE) Emilia Romagna Italia ",44.88944,11.41542,,http://www.icbonatibondeno.edu.it/,https://fe-bonati.medialibrary.it
"Istituto di Istruzione Secondaria Superiore ""Paciolo-D'Annunzio""",PRIS00300G,"via Manzoni, 6",Fidenza,(PR),Emilia Romagna,Italia,"via Manzoni, 6 Fidenza (PR) Emilia Romagna Italia ",44.86223,10.06546,,https://www.paciolo-dannunzio.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Statale Mondaino,RNIC80200D,"via Fonte Leali, 392",Mondaino,(RN),Emilia Romagna,Italia,"via Fonte Leali, 392 Mondaino (RN) Emilia Romagna Italia ",43.8568805,12.6702034,,https://www.icmondaino.edu.it/,https://rn-mondaino.medialibrary.it
Istituto Comprensivo di Neviano Arduini e Lesignano de' Bagni,PRIC81500N,"via Chiesa, 2",Neviano degli Arduini,(PR),Emilia Romagna,Italia,"via Chiesa, 2 Neviano degli Arduini (PR) Emilia Romagna Italia ",44.5822729,10.3152551,,https://icnevianoarduini.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo San Giovanni in Marignano,RNIC80100N,"via Ferrara, 30",San Giovanni in Marignano,(RN),Emilia Romagna,Italia,"via Ferrara, 30 San Giovanni in Marignano (RN) Emilia Romagna Italia ",43.9343767,12.7006382,,https://www.icmarignano.it/,https://scuola.medialibrary.it
Istituto Comprensivo di Rubiera,REIC83600R,"piazza XXIV maggio, 13",Rubiera,(RE),Emilia Romagna,Italia,"piazza XXIV maggio, 13 Rubiera (RE) Emilia Romagna Italia ",44.65158,10.7794,,https://www.icrubiera.edu.it/,https://re-icrubiera.medialibrary.it
Istituto Comprensivo di Loiano Monghidoro,BOIC88400V,"via Michele dei Ramazzotti, 24",Monghidoro,(BO),Emilia Romagna,Italia,"via Michele dei Ramazzotti, 24 Monghidoro (BO) Emilia Romagna Italia ",44.2208673,11.3210165,,https://icloianomonghidoro.edu.it/,https://scuola.medialibrary.it
Istituto Comprensivo Casalgrande,REIC833009,"via Antonio Gramsci, 21",Casalgrande,(RE),Emilia Romagna,Italia,"via Antonio Gramsci, 21 Casalgrande (RE) Emilia Romagna Italia ",44.5854924,10.7373123,,https://iccasalgrande.edu.it/,https://re-iccasalgrande.medialibrary.it
Istituto Comprensivo 2 Ravarino,MOIC84900D,"via Roma, 129",Ravarino,(MO),Emilia Romagna,Italia,"via Roma, 129 Ravarino (MO) Emilia Romagna Italia ",44.724329,11.097732,,https://www.ic2ravarino.edu.it/,https://mo-ic2ravarino.medialibrary.it
Istituto Comprensivo 21 Bologna,BOIC88000G,"via Laura Bassi Veratti, 20",Bologna,(BO),Emilia Romagna,Italia,"via Laura Bassi Veratti, 20 Bologna (BO) Emilia Romagna Italia ",44.482894,11.3681515,,https://www.istitutocomprensivo21bologna.edu.it/,https://bo-ic21.medialibrary.it
